Chapter Code,H.S.Code,HS 4-digit Code,HS 4-digit Description,HS 6-digit Code,HS 6-digit Description,Statistical Code,Full 9-digit Code,Description,Row Index
02,0204.42,0204,"Other cuts with bone in",020442,"Other cuts with bone in",000,020442000,"Other cuts with bone in",79
02,0204.43,0204,"Boneless",020443,"Boneless",000,020443000,"Boneless",80
02,0204.50,0204,"Meat of goats",020450,"Meat of goats",000,020450000,"Meat of goats",81
02,0205.00,0205,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",020500,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",000,020500000,"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen",83
02,0206.10,0206,"Of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled",020,020610020,"1 Cheek meat and head meat",86
02,0206.10,0206,"Of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled",011,020610011,"- Tongues",89
02,0206.10,0206,"Of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled",019,020610019,"- Other",90
02,0206.10,0206,"Of bovine animals, fresh or chilled",020610,"Of bovine animals, fresh or chilled",090,020610090,"(2) Other",91
02,0206.21,0206,"Tongues",020621,"Tongues",000,020621000,"Tongues",93
02,0206.22,0206,"Livers",020622,"Livers",000,020622000,"Livers",94
02,0206.29,0206,"Other",020629,"Other",020,020629020,"1 Cheek meat and head meat",96
02,0206.29,0206,"Other",020629,"Other",010,020629010,"(1) Internal organs",98
02,0206.29,0206,"Other",020629,"Other",090,020629090,"(2) Other",99
02,0206.30,0206,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled",010,020630010,"1 Of wild boars",101
02,0206.30,0206,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled",091,020630091,"(1) Internal organs",103
02,0206.30,0206,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled",093,020630093,"*�k1�lEach kilogram, not more than the upper limit prices for the specific duty applied on  partial pig, in value for customs duty",105
02,0206.30,0206,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled",094,020630094,"- Less than 399 yen/kg in value for customs duty",107
02,0206.30,0206,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled",095,020630095,"- Not less than 399 yen/kg in value for customs duty",108
02,0206.30,0206,"Of swine, fresh or chilled",020630,"Of swine, fresh or chilled",099,020630099,"*�k3�lEach kilogram, more than the gate prices of partial pig, in value for customs duty",109
02,0206.41,0206,"Livers",020641,"Livers",010,020641010,"1 Of wild boars",112
02,0206.41,0206,"Livers",020641,"Livers",090,020641090,"2 Other",113
02,0206.49,0206,"Other",020649,"Other",010,020649010,"1 Of wild boars",115
02,0206.49,0206,"Other",020649,"Other",091,020649091,"(1) Internal organs",117
02,0206.49,0206,"Other",020649,"Other",093,020649093,"*�k1�lEach kilogram, not more than the upper limit prices for the specific duty applied on  partial pig, in value for customs duty",119
02,0206.49,0206,"Other",020649,"Other",094,020649094,"- Less than 399 yen/kg in value for customs duty",121
02,0206.49,0206,"Other",020649,"Other",095,020649095,"- Not less than 399 yen/kg in value for customs duty",122
02,0206.49,0206,"Other",020649,"Other",099,020649099,"*�k3�lEach kilogram, more than the gate prices of partial pig, in value for customs duty",123
02,0206.80,0206,"Other, fresh or chilled",020680,"Other, fresh or chilled",000,020680000,"Other, fresh or chilled",124
02,0206.90,0206,"Other, frozen",020690,"Other, frozen",000,020690000,"Other, frozen",125
02,0207.11,0207,"Not cut in pieces, fresh or chilled",020711,"Not cut in pieces, fresh or chilled",000,020711000,"Not cut in pieces, fresh or chilled",128
02,0207.12,0207,"Not cut in pieces, frozen",020712,"Not cut in pieces, frozen",000,020712000,"Not cut in pieces, frozen",129
02,0207.13,0207,"Cuts and offal, fresh or chilled",020713,"Cuts and offal, fresh or chilled",100,020713100,"1 Legs with bone in",131
02,0207.13,0207,"Cuts and offal, fresh or chilled",020713,"Cuts and offal, fresh or chilled",200,020713200,"2 Other",132
02,0207.14,0207,"Cuts and offal, frozen",020714,"Cuts and offal, frozen",100,020714100,"1 Livers",134
02,0207.14,0207,"Cuts and offal, frozen",020714,"Cuts and offal, frozen",210,020714210,"(1) Legs with bone in",136
02,0207.14,0207,"Cuts and offal, frozen",020714,"Cuts and offal, frozen",220,020714220,"(2) Other",137
02,0207.24,0207,"Not cut in pieces, fresh or chilled",020724,"Not cut in pieces, fresh or chilled",000,020724000,"Not cut in pieces, fresh or chilled",139
02,0207.25,0207,"Not cut in pieces, frozen",020725,"Not cut in pieces, frozen",000,020725000,"Not cut in pieces, frozen",140
02,0207.26,0207,"Cuts and offal, fresh or chilled",020726,"Cuts and offal, fresh or chilled",000,020726000,"Cuts and offal, fresh or chilled",141
02,0207.27,0207,"Cuts and offal, frozen",020727,"Cuts and offal, frozen",100,020727100,"1 Livers",143
02,0207.27,0207,"Cuts and offal, frozen",020727,"Cuts and offal, frozen",200,020727200,"2 Other",144
02,0207.41,0207,"Not cut in pieces, fresh or chilled",020741,"Not cut in pieces, fresh or chilled",000,020741000,"Not cut in pieces, fresh or chilled",146
02,0207.42,0207,"Not cut in pieces, frozen",020742,"Not cut in pieces, frozen",000,020742000,"Not cut in pieces, frozen",147
02,0207.43,0207,"Fatty livers, fresh or chilled",020743,"Fatty livers, fresh or chilled",000,020743000,"Fatty livers, fresh or chilled",148
02,0207.44,0207,"Other, fresh or chilled",020744,"Other, fresh or chilled",000,020744000,"Other, fresh or chilled",149
02,0207.45,0207,"Other, frozen",020745,"Other, frozen",010,020745010,"- Livers",151
02,0207.45,0207,"Other, frozen",020745,"Other, frozen",090,020745090,"- Other",152
02,0207.51,0207,"Not cut in pieces, fresh or chilled",020751,"Not cut in pieces, fresh or chilled",000,020751000,"Not cut in pieces, fresh or chilled",154
02,0207.52,0207,"Not cut in pieces, frozen",020752,"Not cut in pieces, frozen",000,020752000,"Not cut in pieces, frozen",155
02,0207.53,0207,"Fatty livers, fresh or chilled",020753,"Fatty livers, fresh or chilled",000,020753000,"Fatty livers, fresh or chilled",156
02,0207.54,0207,"Other, fresh or chilled",020754,"Other, fresh or chilled",000,020754000,"Other, fresh or chilled",157
02,0207.55,0207,"Other, frozen",020755,"Other, frozen",100,020755100,"1 Livers",159
02,0207.55,0207,"Other, frozen",020755,"Other, frozen",200,020755200,"2 Other",160
02,0207.60,0207,"Of guinea fowls",020760,"Of guinea fowls",100,020760100,"1 Livers, frozen",162
02,0207.60,0207,"Of guinea fowls",020760,"Of guinea fowls",200,020760200,"2 Other",163
02,0208.10,0208,"Of rabbits or hares",020810,"Of rabbits or hares",000,020810000,"Of rabbits or hares",165
02,0208.30,0208,"Of primates",020830,"Of primates",000,020830000,"Of primates",166
02,0208.40,0208,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder Pinnipedia)",020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder Pinnipedia)",011,020840011,"- Of whales",168
02,0208.40,0208,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder Pinnipedia)",020840,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder Pinnipedia)",090,020840090,"- Other",169
02,0208.50,0208,"Of reptiles (including snakes and turtles)",020850,"Of reptiles (including snakes and turtles)",000,020850000,"Of reptiles (including snakes and turtles)",170
02,0208.60,0208,"Of camels and other camelids (Camelidae)",020860,"Of camels and other camelids (Camelidae)",000,020860000,"Of camels and other camelids (Camelidae)",171
02,0208.90,0208,"Other",020890,"Other",000,020890000,"Other",172
02,0209.10,0209,"Of pigs",020910,"Of pigs",000,020910000,"Of pigs",174
02,0209.90,0209,"Other",020990,"Other",000,020990000,"Other",175
02,0210.11,0210,"Hams, shoulders and cuts thereof, with bone in",021011,"Hams, shoulders and cuts thereof, with bone in",010,021011010,"*�k1�lEach kilogram, in value for customs duty, not more than the gate prices for the specific duty applied on processed meat of swine, where the gate prices shall be obtained by dividing Prices A by Rate B plus 0.6, and multiplying by 1.5, the same definition shall be applied in this heading and in heading 16.02.
Prices A; standard import prices for processed meat  of swine specified by the sub-paragraph 1 of paragraph 4 of the Annex 1-3-2 to the Temporary Tariff Measures Law corresponding to the period of importation provided by the Annex, the same definition shall be applied in this heading and in heading 16.02.
Rates B; the rates specified in this sub-heading *�k2�l according to the each divisions  of each import terms provided in the Annex 1-3",179
02,0210.11,0210,"Hams, shoulders and cuts thereof, with bone in",021011,"Hams, shoulders and cuts thereof, with bone in",020,021011020,"*�k2�lEach kilogram, more than the gate prices of processed meat of swine, in value for customs duty",180
02,0210.12,0210,"Bellies (streaky) and cuts thereof",021012,"Bellies (streaky) and cuts thereof",010,021012010,"*�k1�lEach kilogram, not more than the gate prices of processed meat of swine, in value for customs duty",182
02,0210.12,0210,"Bellies (streaky) and cuts thereof",021012,"Bellies (streaky) and cuts thereof",020,021012020,"*�k2�lEach kilogram, more than the gate prices of processed meat of swine, in value for customs duty",183
02,0210.19,0210,"Other",021019,"Other",010,021019010,"*�k1�lEach kilogram, not more than the gate prices of processed meat of swine, in value for customs duty",185
02,0210.19,0210,"Other",021019,"Other",020,021019020,"*�k2�lEach kilogram, more than the gate prices of processed meat of swine, in value for customs duty",186
02,0210.20,0210,"Meat of bovine animals",021020,"Meat of bovine animals",000,021020000,"Meat of bovine animals",187
02,0210.91,0210,"Of primates",021091,"Of primates",000,021091000,"Of primates",189
02,0210.92,0210,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder  Pinnipedia)",021092,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder  Pinnipedia)",000,021092000,"Of whales, dolphins and porpoises (mammals of the order Cetacea); of manatees and dugongs (mammals of the order Sirenia); of seals, sea lions and walruses(mammals of the suborder  Pinnipedia)",190
02,0210.93,0210,"Of reptiles (including snakes and turtles)",021093,"Of reptiles (including snakes and turtles)",000,021093000,"Of reptiles (including snakes and turtles)",191
02,0210.99,0210,"Other",021099,"Other",011,021099011,"*�k1�lEach kilogram, not more than the gate prices of processed meat of swine, in value for customs duty",194
02,0210.99,0210,"Other",021099,"Other",019,021099019,"*�k2�lEach kilogram, more than the gate prices of processed meat of swine, in value for customs duty",195
02,0210.99,0210,"Other",021099,"Other",020,021099020,"2 Of bovine animals",196
02,0210.99,0210,"Other",021099,"Other",090,021099090,"3 Other",197
04,0401.10,0401,"Of a fat content, by weight, not exceeding 1%",040110,"Of a fat content, by weight, not exceeding 1%",110,040110110,"- Concerning milk and cream in this subheading 1, 0401.20-1, 0401.40-1 and 0401.50-1-(1), (2), buttermilk etc. in 0403.20-1 and 0403.90-1-(1)-*�k2�l, (2)-*�k2�l and (3)-*�k2�l, products consisting of natural milk constituents in 0404.90-1-(1)-*�k1�l, *�k2�l, (2)-*�k1�l, *�k2�l, (3)-*�k1�l, *�k2�l, edible preparations containing cocoa in 1806.20-1-(1), 1806.90-2-(1)-A, edible preparations in 1901.10-1-(1), (2), 1901.20-1-(1)-A, B and 1901.90-1-(1)-A, B, preparations with a basis of coffee etc. in 2101.12-2-(1)-A, B and 2101.20-2-(1)-A, B, edible preparations in 2106.10-1 and 2106.90-1-(1), (2), for the quantity (quota) stipulated by a Cabinet Order on the basis of 133,940 ton, evaluated as whole milk by means stipulated by a Cabinet Order, in consideration of imported quantity in the preceding fiscal year (April-March), international market situation and other relevant conditions, hereinafter referred to as ""the Pooled Quota of other milk products"" in this heading, heading 04.03, 04.04, 18.06, 19.01, 21.01 and 21.06",6
04,0401.10,0401,"Of a fat content, by weight, not exceeding 1%",040110,"Of a fat content, by weight, not exceeding 1%",190,040110190,"- Other",7
04,0401.10,0401,"Of a fat content, by weight, not exceeding 1%",040110,"Of a fat content, by weight, not exceeding 1%",200,040110200,"2 Other",8
04,0401.20,0401,"Of a fat content, by weight, exceeding 1% but not exceeding 6%",040120,"Of a fat content, by weight, exceeding 1% but not exceeding 6%",110,040120110,"- For ""the Pooled Quota of other milk products��",11
04,0401.20,0401,"Of a fat content, by weight, exceeding 1% but not exceeding 6%",040120,"Of a fat content, by weight, exceeding 1% but not exceeding 6%",190,040120190,"- Other",12
04,0401.20,0401,"Of a fat content, by weight, exceeding 1% but not exceeding 6%",040120,"Of a fat content, by weight, exceeding 1% but not exceeding 6%",200,040120200,"2 Other",13
04,0401.40,0401,"Of a fat content, by weight, exceeding 6% but not exceeding 10%",040140,"Of a fat content, by weight, exceeding 6% but not exceeding 10%",110,040140110,"- For ""the Pooled Quota of other milk products��",16
04,0401.40,0401,"Of a fat content, by weight, exceeding 6% but not exceeding 10%",040140,"Of a fat content, by weight, exceeding 6% but not exceeding 10%",190,040140190,"- Other",17
04,0401.40,0401,"Of a fat content, by weight, exceeding 6% but not exceeding 10%",040140,"Of a fat content, by weight, exceeding 6% but not exceeding 10%",200,040140200,"2 Other",18
